,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content
105,englewood,"{'type': 'Point', 'coordinates': [-87.6638541, 41.9043757]}",2016-03-08 21:48:02,0,0,"@writingtoatee I saw that but Chicago also has englewood and pilsen, im sure he would be welcome with open arms 😊"
106,englewood,,2016-03-08 19:32:34,0,0,"High School Science Teacher Englewood Campus Magic Johnson Bridgescape Academy Jobs in Chicago, IL #Chicago #IL https://t.co/SDCb0vLzvr"
107,englewood,,2016-03-08 18:16:00,0,0,Englewood Development Focus Group - Let Your Voice Be Heard - March 19th! on Mar 19 https://t.co/FpXHtEQ1kF via @everyblock
108,englewood,,2016-03-08 17:17:02,0,0,"Please help Flint Water Crisis Victims

https://t.co/1tk1bgKNHP"
109,englewood,,2016-03-08 16:58:06,0,0,PNC Bank Presents Teamwork Englewood with #CommunityDevelopment Grant https://t.co/cfoprclCxa
110,englewood,,2016-03-08 16:51:16,0,0,@CWLScorpio Chicago!? Not in englewood or Garfield park it isn't or lawdale everyone I know from there goon means thugs. funny conception
111,englewood,,2016-03-08 16:09:15,0,0,#GreatinEnglewood - Congrats @tmwkenglewood - PNC Bank Presents Teamwork Englewood with Community Development Grant https://t.co/XaEh22HSxl
112,englewood,,2016-03-08 12:04:20,0,2,RT @kskrecordsinc: Nice story Barbershop in the Library serves many purposes #chicago @WindyCityLIVE @ChiDailyNews #englewood  @val_warner
113,englewood,,2016-03-08 12:04:10,0,1,RT @NetworkSensei: Those young people look like they know what their doing! 󾰀 #WeAreMURAL #FoodJustice #Englewood #Chicago https://t.co/WMi…
114,englewood,,2016-03-08 12:04:07,0,1,RT @NetworkSensei: Congratulations to our young #CookingMatters graduates! #WeAreMURAL #FoodJustice #Englewood #Chicago https://t.co/9d5yaE…
115,englewood,,2016-03-08 12:03:56,0,1,"RT @DrumBeatJourney: Barbershop at the Englewood Library. 
#chicago
#southsidechicago
#englewood
#blackyouth
#empowerment
#safehaven https:…"
116,englewood,,2016-03-08 12:03:47,0,1,"RT @oscarthinks: “I think arts and culture is going to be a part of the thread of community development,” #chicago #englewood #equity https…"
117,englewood,,2016-03-08 12:03:42,0,4,RT @ChicagoReporter: Video:106-year-old #Englewood man recounts moving to Chicago during the Great Migration. https://t.co/1PqavOJfY7 #Blac…
118,englewood,,2016-03-08 12:03:29,0,3,RT @MBMHMC: Lunch in Englewood at #DreamCafe  #englewood #city #Chicago #eatlocal #NoFranchisesThisIsChicago  @DreamCafeGrille https://t.co…
119,englewood,,2016-03-08 12:03:25,0,10,RT @Food_Tank: Cafe hopes to build up Chicago's #Englewood with healthier food: https://t.co/mUCSG3dmuL @chicagotribune https://t.co/8Wok4E…
120,englewood,,2016-03-08 12:03:10,0,1,RT @rodneydunigan: Chicago stand up.. DRose.. knees lookin good tonight.. 👴🏾 #southside #englewood #iusetohoop #handleswascrazythough https…
121,englewood,,2016-03-08 05:26:45,0,1,"RT @MrsGirlsLikeMe: This was a profile on my son almost 4 years ago: ""Some Englewood Parents Succeeding, Despite Atmosphere Of Violence htt…"
122,englewood,,2016-03-08 04:57:00,0,0,"Englewood, Chicago 📍"
