,Unnamed: 0,Community Area Mentioned,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content,Tweet Latitude,Tweet Longitude,sentiment,Compound
205,205,englewood,2016-03-05 18:28:12,0.0,0.0,SMH. If you don't know you're damned if you do know you're damned and informed.. https://t.co/5Dr1fNj37a,0.0,0.0,"{'neg': 0.149, 'neu': 0.637, 'pos': 0.214, 'compound': 0.0862}",0.0862
206,206,englewood,2016-03-05 17:49:21,0.0,0.0,"Nailed it @ West Englewood, Chicago https://t.co/gAmBgcI0eC",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
207,207,englewood,2016-03-05 16:55:18,0.0,0.0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/8WwMQ86mB6,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
208,208,englewood,2016-03-05 16:08:04,1.0,0.0,"Retweeted LISC Chicago (@LISCChicago):

Greater Englewood homeowners that purchased a $1 @largelots - Apply for a... https://t.co/ZSOcXcQxTH",0.0,0.0,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}",0.3612
209,209,englewood,2016-03-05 15:51:02,0.0,0.0,For all y'all drunk drivers https://t.co/h6tln2dwXD,0.0,0.0,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.34}",-0.34
210,210,englewood,2016-03-05 07:57:10,0.0,0.0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/2QrH6u7qTM,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
211,211,englewood,2016-03-05 05:11:26,0.0,0.0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/Vo9GUXMNIx,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
212,212,englewood,2016-03-05 04:03:01,0.0,2.0,"RT @CSTbreaking: Man wounded in Englewood drive-by shooting
https://t.co/rtfC5jY1Vh",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
213,213,englewood,2016-03-05 03:58:33,0.0,2.0,"RT @CSTbreaking: Man wounded in Englewood drive-by shooting
https://t.co/rtfC5jY1Vh",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
214,214,englewood,2016-03-05 03:56:58,0.0,2.0,"Man wounded in Englewood drive-by shooting
https://t.co/rtfC5jY1Vh",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
215,215,englewood,2016-03-05 03:51:14,0.0,0.0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night via @DNAinfoCHI https://t.co/RKD0angC1w,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
216,216,englewood,2016-03-05 03:45:13,0.0,0.0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/wOREPdDODw,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
217,217,englewood,2016-03-05 03:26:42,0.0,0.0,Heads up. https://t.co/8fFov9ml48,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
218,218,englewood,2016-03-05 03:06:52,0.0,0.0,Be forewarned https://t.co/tKS6NQmrjf,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
219,219,englewood,2016-03-05 02:35:02,0.0,2.0,RT @angie_fly_girl: @jexaminerai @rj_deacon @Parker9_ wow. I am FROM #Chicago Englewood is no joke! @BernieSanders @SenSanders is the real …,0.0,0.0,"{'neg': 0.09, 'neu': 0.653, 'pos': 0.257, 'compound': 0.6239}",0.6239
220,220,englewood,2016-03-05 02:31:59,0.0,2.0,RT @angie_fly_girl: @jexaminerai @rj_deacon @Parker9_ wow. I am FROM #Chicago Englewood is no joke! @BernieSanders @SenSanders is the real …,0.0,0.0,"{'neg': 0.09, 'neu': 0.653, 'pos': 0.257, 'compound': 0.6239}",0.6239
221,221,englewood,2016-03-05 01:47:32,0.0,0.0,"Just posted a video @ Chicago (Englewood neighborhood), Illinois https://t.co/i9nuQ7tnEi",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
222,222,englewood,2016-03-05 01:44:35,2.0,2.0,@jexaminerai @rj_deacon @Parker9_ wow. I am FROM #Chicago Englewood is no joke! @BernieSanders @SenSanders is the real deal,0.0,0.0,"{'neg': 0.098, 'neu': 0.622, 'pos': 0.28, 'compound': 0.6239}",0.6239
223,223,englewood,2016-03-05 01:26:03,0.0,0.0,"Well until they have the Gatorade/Powerade checkpoints, I'm good! https://t.co/8eVb7ZFKZ6",0.0,0.0,"{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.6476}",0.6476
