,Community Area Mentioned,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content,Tweet Latitude,Tweet Longitude
104,englewood,2016-03-09 22:02:29,0.0,2.0,"Police: Cab drivers targeted in West Englewood armed robberies
https://t.co/khLDUct99V",0.0,0.0
105,englewood,2016-03-09 21:30:55,0.0,1.0,RT @DJT_RELL: Growin up in Englewood/Chicago had its ups &amp; downs...But if I could it All over again-I SWEAR I would,0.0,0.0
106,englewood,2016-03-09 21:25:40,0.0,1.0,Growin up in Englewood/Chicago had its ups &amp; downs...But if I could it All over again-I SWEAR I would,0.0,0.0
107,englewood,2016-03-09 21:06:00,3.0,5.0,insufficient social services and discriminatory hiring practices are failing englewood's senior citizens https://t.co/MVPSVwlIST,0.0,0.0
108,englewood,2016-03-09 20:06:25,0.0,0.0,chicagonewsnow: Man shot in Englewood neighborhood https://t.co/6RcIBO8JHz #chicago,0.0,0.0
109,englewood,2016-03-09 20:04:21,0.0,0.0,chicagonewsnow: Man shot in Englewood neighborhood https://t.co/j7yOLBN9uF #chicago,0.0,0.0
110,englewood,2016-03-09 19:45:32,0.0,1.0,"RT @CSTbreaking: Man wounded in Englewood shooting, crash https://t.co/ajvh22Jd3w",0.0,0.0
111,englewood,2016-03-09 18:56:14,0.0,2.0,RT @chicagonewsnow: Man shot in Englewood neighborhood https://t.co/6zCpnc45YN #chicago,0.0,0.0
112,englewood,2016-03-09 18:39:51,0.0,0.0,“@chicagonewsnow: Man shot in Englewood neighborhood https://t.co/TXb1Sh7xPa #chicago” damn,0.0,0.0
113,englewood,2016-03-09 18:39:32,0.0,2.0,RT @chicagonewsnow: Man shot in Englewood neighborhood https://t.co/6zCpnc45YN #chicago,0.0,0.0
114,englewood,2016-03-09 18:38:42,0.0,2.0,Man shot in Englewood neighborhood https://t.co/6zCpnc45YN #chicago,0.0,0.0
115,englewood,2016-03-09 18:14:00,0.0,0.0,Man shot in Englewood neighborhood https://t.co/nBE5vWLSKn,0.0,0.0
116,englewood,2016-03-09 18:03:16,0.0,0.0,"Man wounded in Englewood shooting, crash https://t.co/Q66H76Os1W #Chiraq",0.0,0.0
117,englewood,2016-03-09 17:45:08,1.0,1.0,"Man wounded in Englewood shooting, crash https://t.co/ajvh22Jd3w",0.0,0.0
118,englewood,2016-03-09 17:42:23,0.0,0.0,Man shot in Englewood neighborhood https://t.co/10YjU8GnW4 #chicago,0.0,0.0
119,englewood,2016-03-09 17:35:32,0.0,1.0,"RT @drocthekid: I like Chicago women, just not the ones from Englewood or the 100s",0.0,0.0
120,englewood,2016-03-09 17:33:21,0.0,1.0,"I like Chicago women, just not the ones from Englewood or the 100s",0.0,0.0
121,englewood,2016-03-09 17:22:07,0.0,0.0,"Man shot in Englewood neighborhood: A 22-year-old man was shot in the Englewood neighborhood Wednesday morning,… https://t.co/9SA719urjo",0.0,0.0
122,englewood,2016-03-09 17:14:05,0.0,0.0,"Man shot in Englewood neighborhood: A 22-year-old man was shot in the Englewood neighborhood Wednesday morning,… https://t.co/puVI0alaFH",0.0,0.0
123,englewood,2016-03-09 16:54:06,0.0,0.0,Man shot in Englewood neighborhood: A 22-year-old man was shot in the Englewood neighborhood… https://t.co/wQkBiwNZLK #Chicago #News,0.0,0.0
124,englewood,2016-03-09 16:53:13,0.0,2.0,"RT @haniainabox: Live tweeting from the @iGrowChi account about the work they do in the Englewood neighborhood of Chicago, check it out!",0.0,0.0
125,englewood,2016-03-09 16:53:01,2.0,2.0,"Live tweeting from the @iGrowChi account about the work they do in the Englewood neighborhood of Chicago, check it out!",0.0,0.0
126,englewood,2016-03-09 16:49:52,0.0,2.0,RT @ChicagoBreaking: Man shot in Englewood neighborhood https://t.co/mdoXbCaloi,0.0,0.0
127,englewood,2016-03-09 16:47:22,0.0,2.0,RT @ChicagoBreaking: Man shot in Englewood neighborhood https://t.co/mdoXbCaloi,0.0,0.0
128,englewood,2016-03-09 16:45:02,0.0,2.0,Man shot in Englewood neighborhood https://t.co/mdoXbCaloi,0.0,0.0
129,englewood,2016-03-09 16:42:26,0.0,1.0,RT @WoImaging: Saw Black Coffee. Definite must see. Inspiration. http://t.co/Q2oi5HqSTO,0.0,0.0
130,englewood,2016-03-09 16:42:24,0.0,1.0,RT @WoImaging: Englewood Filmmaker Mark Harris' 'Black Coffee' Aims to Inspire  via @DNAinfoCHI http://t.co/WJSG5BBnHi,0.0,0.0
131,englewood,2016-03-09 15:46:03,0.0,0.0,Step IT Up America Program to Train and Employ Minority Women in Chicago via @DNAinfoCHI https://t.co/ZUpe7nhCg1,0.0,0.0
132,englewood,2016-03-09 13:29:37,0.0,0.0,"@TommyThornton speaking of which, you'll likely appreciate this article. It's from Jan 16 but the story is relevant. https://t.co/ABTQwPOrdj",0.0,0.0
133,englewood,2016-03-09 09:09:05,0.0,2.0,RT @shermanedwards: Bernie Sanders got arrested in Englewood while wearing a hoodie!?!? #thuglife https://t.co/mxsiOdrvuy,0.0,0.0
134,englewood,2016-03-09 08:48:36,0.0,0.0,2 men shot in car in West Englewood.. Related Articles: https://t.co/uIiFbPrROi,0.0,0.0
135,englewood,2016-03-09 04:21:42,0.0,0.0,Many don't make it out of where I'm from: Englewood Chicago ❗,0.0,0.0
136,englewood,2016-03-09 02:58:13,0.0,0.0,2 men shot in car in West Englewood - Chicago Sun-Times How sad is this very sad I'm SgtFrozen  https://t.co/8SUodQVll2,0.0,0.0
137,englewood,2016-03-09 01:55:21,1.0,0.0,Chicago 1963: Bernie arrested for protesting racial segregation in Englewood public schools(source: Chicago Tribune) https://t.co/XcUQbarRpT,0.0,0.0
138,englewood,2016-03-09 01:02:50,0.0,6.0,"RT @PDX_For_Bernie: #BernieSanders arrest. I grew up on the Southside of Chicago, Englewood is no punk. This man cares. #SCPrimary https://…",0.0,0.0
139,englewood,2016-03-09 00:52:18,0.0,2.0,RT @CSTbreaking: 2 men shot in car in West Englewood https://t.co/JPapd1Tzvq,0.0,0.0
140,englewood,2016-03-09 00:23:30,0.0,0.0,For Updates &amp; more... Visit LouDGangUSA https://t.co/h7xgmhnYQW #LouDGangUSA #Chicago #music #Englewood #rap #hiphop #greencrack #RT,0.0,0.0
141,englewood,2016-03-08 23:44:57,0.0,2.0,RT @CSTbreaking: 2 men shot in car in West Englewood https://t.co/JPapd1Tzvq,0.0,0.0
142,englewood,2016-03-08 23:43:28,0.0,2.0,2 men shot in car in West Englewood https://t.co/JPapd1Tzvq,0.0,0.0
143,englewood,2016-03-08 23:09:30,0.0,4.0,"RT @LoudGangUSA: For Updates &amp; more...
Visit @LouDGangUSA https://t.co/zeI9Xl9Cyg
#LouDGangUSA #Chicago #music #Englewood #rap #hiphop #gre…",0.0,0.0
144,englewood,2016-03-08 21:59:36,0.0,0.0,South Side Mural Called 'Mother Englewood' by Residents via @DNAinfoCHI https://t.co/3tccy8sv9e,0.0,0.0
145,englewood,2016-03-08 21:48:02,0.0,0.0,"@writingtoatee I saw that but Chicago also has englewood and pilsen, im sure he would be welcome with open arms 😊",-87.6638541,41.9043757
146,englewood,2016-03-08 18:16:00,0.0,0.0,Englewood Development Focus Group - Let Your Voice Be Heard - March 19th! on Mar 19 https://t.co/FpXHtEQ1kF via @everyblock,0.0,0.0
147,englewood,2016-03-08 17:17:02,0.0,0.0,"Please help Flint Water Crisis Victims

https://t.co/1tk1bgKNHP",0.0,0.0
148,englewood,2016-03-08 16:58:06,0.0,0.0,PNC Bank Presents Teamwork Englewood with #CommunityDevelopment Grant https://t.co/cfoprclCxa,0.0,0.0
149,englewood,2016-03-08 16:51:16,0.0,0.0,@CWLScorpio Chicago!? Not in englewood or Garfield park it isn't or lawdale everyone I know from there goon means thugs. funny conception,0.0,0.0
150,englewood,2016-03-08 16:09:15,0.0,0.0,#GreatinEnglewood - Congrats @tmwkenglewood - PNC Bank Presents Teamwork Englewood with Community Development Grant https://t.co/XaEh22HSxl,0.0,0.0
151,englewood,2016-03-08 12:04:20,0.0,2.0,RT @kskrecordsinc: Nice story Barbershop in the Library serves many purposes #chicago @WindyCityLIVE @ChiDailyNews #englewood  @val_warner,0.0,0.0
152,englewood,2016-03-08 12:04:10,0.0,1.0,RT @NetworkSensei: Those young people look like they know what their doing! 󾰀 #WeAreMURAL #FoodJustice #Englewood #Chicago https://t.co/WMi…,0.0,0.0
153,englewood,2016-03-08 12:04:07,0.0,1.0,RT @NetworkSensei: Congratulations to our young #CookingMatters graduates! #WeAreMURAL #FoodJustice #Englewood #Chicago https://t.co/9d5yaE…,0.0,0.0
154,englewood,2016-03-08 12:03:56,0.0,1.0,"RT @DrumBeatJourney: Barbershop at the Englewood Library. 
#chicago
#southsidechicago
#englewood
#blackyouth
#empowerment
#safehaven https:…",0.0,0.0
155,englewood,2016-03-08 12:03:47,0.0,1.0,"RT @oscarthinks: “I think arts and culture is going to be a part of the thread of community development,” #chicago #englewood #equity https…",0.0,0.0
156,englewood,2016-03-08 12:03:42,0.0,4.0,RT @ChicagoReporter: Video:106-year-old #Englewood man recounts moving to Chicago during the Great Migration. https://t.co/1PqavOJfY7 #Blac…,0.0,0.0
157,englewood,2016-03-08 12:03:29,0.0,3.0,RT @MBMHMC: Lunch in Englewood at #DreamCafe  #englewood #city #Chicago #eatlocal #NoFranchisesThisIsChicago  @DreamCafeGrille https://t.co…,0.0,0.0
